time,base_time,time_offset,mean_u,qc_mean_u,mean_v,qc_mean_v,mean_w,qc_mean_w,mean_t,qc_mean_t,mean_q,qc_mean_q,mean_c,qc_mean_c,var_u,qc_var_u,var_v,qc_var_v,var_w,qc_var_w,var_t,qc_var_t,var_q,qc_var_q,var_c,qc_var_c,skew_u,skew_v,skew_w,skew_t,skew_q,skew_c,kurt_u,kurt_v,kurt_w,kurt_t,kurt_q,kurt_c,cvar_uv,cvar_uw,cvar_ut,cvar_uq,cvar_uc,cvar_vw,cvar_vt,cvar_vq,cvar_vc,cvar_wt,cvar_wq,cvar_wc,cvar_tq,cvar_tc,cvar_qc,elev,qc_elev,phi,mean_rot_u,mean_rot_v,mean_rot_w,var_rot_u,var_rot_v,var_rot_w,cvar_rot_uv,cvar_rot_uw,cvar_rot_ut,cvar_rot_uq,cvar_rot_uc,cvar_rot_vw,cvar_rot_vt,cvar_rot_vq,cvar_rot_vc,cvar_rot_wt,cvar_rot_wq,cvar_rot_wc,wind_spd,qc_wind_spd,wind_dir,qc_wind_dir,std_wind_dir,qc_std_wind_dir,std_elev,qc_std_elev,atm_pres,qc_atm_pres,temp_irga,qc_temp_irga,cp,qc_cp,rho,qc_rho,lv,qc_lv,mr,qc_mr,real_cp,real_rho,real_lv,real_mr,h,qc_h,lv_e,qc_lv_e,k,qc_k,ustar,qc_ustar,fc,qc_fc,n_good_u,qc_n_good_u,n_good_v,qc_n_good_v,n_good_w,qc_n_good_w,n_good_t,qc_n_good_t,n_good_q,qc_n_good_q,n_good_c,qc_n_good_c,n_bad_u,n_bad_v,n_bad_w,n_bad_t,n_bad_q,n_bad_c,n_spk_u,n_spk_v,n_spk_w,n_spk_t,n_spk_q,n_spk_c,mean_spk_u,mean_spk_v,mean_spk_w,mean_spk_t,mean_spk_q,mean_spk_c,n_bad_sonic,n_bad_irga,n_bad_irga_light,mean_cooler,lat,lon,alt
2020-03-14 00:00:00,2020-03-14,2020-03-14 00:00:00,-7.753,0,0.6906,0,1.169,0,278.3,0,198.2,0,16.16,0,2.391,0,2.227,0,0.1988,0,0.1497,0,76.24,2,0.08569,0,-0.08516,-0.9533,0.2106,0.1287,-0.8114,-0.925,2.695,4.179,3.701,3.027,5.125,5.055,1.072,-0.03856,0.2336,1.425,-0.06118,0.03918,0.03057,2.1,0.02713,0.03878,0.4446,-0.02435,0.3317,-0.05554,1.283,8.545,4,174.9,7.871,0.0,-5.131e-17,2.168,2.418,0.2307,1.053,-0.254,-0.2217,-1.153,0.05902,-0.1942,-0.05118,-2.218,-0.02159,0.07252,0.6229,-0.03349,7.871,0,5.085,0,11.4,0,3.505,0,100.6,0,-1.405,0,1012.0,0,1.257,0,2490000.0,0,0.00303,0,0.0,0.0,0.0,0.0,112.5,0,27.92,0,-0.3192,0,0.504,0,-33.49,0,17987.0,0,17987.0,0,17987.0,0,17985.0,0,17979.0,0,17969.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,30.0,,,,277.2,205.7,16.32,12.0,0.0,0.0,1.119,69.14128,15.684167,2.0
2020-03-14 00:30:00,2020-03-14,2020-03-14 00:30:00,-10.71,0,0.4991,0,1.461,0,278.6,0,236.8,0,17.0,0,2.92,0,1.902,0,0.3346,0,0.1829,0,641.9,0,0.1205,0,0.3835,-0.08108,0.279,-0.1267,0.6695,-0.764,3.589,3.181,3.707,2.831,2.129,3.012,0.3568,-0.02483,0.3332,2.314,-0.1011,0.05026,0.03528,3.396,-0.01887,0.02879,1.835,-0.005531,-1.181,-0.05363,4.677,7.758,4,177.3,10.82,2.711e-20,-1.892e-16,2.846,1.937,0.3738,0.3923,-0.315,-0.3243,-1.886,0.09849,-0.103,-0.05075,-3.5,0.02356,0.07324,2.108,-0.019,10.82,0,2.663,0,7.346,0,3.348,0,100.6,0,-0.8526,0,1013.0,0,1.255,0,2489000.0,0,0.003626,0,0.0,0.0,0.0,0.0,113.6,0,94.47,0,-0.3954,0,0.5612,0,-19.0,0,17998.0,0,17998.0,0,17995.0,0,17994.0,0,17998.0,0,17998.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,,,3.237,277.3,,,0.0,0.0,0.0,1.139,69.14128,15.684167,2.0
2020-03-14 01:00:00,2020-03-14,2020-03-14 01:00:00,-10.7,0,0.3158,0,1.427,0,278.4,0,262.4,0,17.17,0,3.391,0,1.429,0,0.3306,0,0.2102,0,219.2,0,0.03809,0,-0.04447,-0.3966,0.214,-0.09173,-0.04872,-1.221,2.104,3.982,3.753,3.194,2.596,4.9,0.1128,-0.1322,0.289,19.72,-0.02725,0.0217,0.06269,-0.9047,0.03223,0.03735,0.06124,-0.01906,2.392,-0.02608,-1.06,7.593,4,178.3,10.8,0.0,-4.289e-17,3.364,1.437,0.3491,0.1666,-0.2716,-0.2796,-19.55,0.02542,-0.04016,-0.07119,0.3226,-0.03141,0.07496,2.668,-0.02261,10.8,0,1.685,0,6.306,0,3.191,0,100.6,0,-0.697,0,1013.0,0,1.256,0,2490000.0,0,0.004018,0,0.0,0.0,0.0,0.0,116.4,0,119.6,0,-0.3411,0,0.5212,0,-22.61,0,17989.0,0,17988.0,0,17988.0,0,17981.0,0,17990.0,0,17968.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,9.0,31.0,,-3.01,-0.16,280.3,253.7,17.1,10.0,0.0,0.0,1.143,69.14128,15.684167,2.0
2020-03-14 01:30:00,2020-03-14,2020-03-14 01:30:00,-10.47,0,-0.5686,0,1.338,0,279.0,0,243.9,0,17.3,0,2.032,0,1.331,0,0.3155,0,0.2389,0,174.8,0,0.02323,0,-0.3425,-0.02989,0.4363,-0.2186,-0.1181,-0.2281,2.928,2.951,3.841,3.16,2.835,2.866,-0.5626,-0.08997,0.3904,1.26,0.02089,0.09439,-0.03525,0.07341,-0.03198,0.01502,2.09,-0.02578,1.539,-0.008451,-1.568,7.267,4,-176.9,10.57,5.421e-20,1.935e-16,1.964,1.394,0.3207,-0.6049,-0.1254,-0.3829,-0.9879,-0.02223,-0.02279,0.05636,-0.00499,0.03307,0.06397,2.233,-0.02316,10.57,0,356.9,0,6.505,0,3.09,0,100.6,0,-0.6796,0,1013.0,0,1.254,0,2488000.0,0,0.003741,0,0.0,0.0,0.0,0.0,99.1,0,100.0,0,-0.1572,0,0.3542,0,-23.16,0,17998.0,0,17998.0,0,17996.0,0,17995.0,0,17998.0,0,17998.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,,,3.69,277.6,,,0.0,0.0,0.0,1.142,69.14128,15.684167,2.0
2020-03-14 02:00:00,2020-03-14,2020-03-14 02:00:00,-8.396,0,-1.043,0,1.009,0,279.3,0,256.4,0,17.66,0,1.24,0,1.162,0,0.1874,0,0.1435,0,366.8,0,0.004946,0,-0.3799,0.02721,0.362,0.04307,0.3665,-1.108,3.335,2.779,3.771,3.019,2.525,5.425,-0.0125,-0.02447,0.1538,6.1,-0.00626,0.05274,0.03528,4.254,-0.01311,0.03192,1.432,-0.00732,2.725,-0.009794,-1.027,6.8,0,-172.9,8.521,0.0,1.189e-16,1.225,1.167,0.1979,-0.02801,-0.106,-0.152,-6.362,0.006906,-0.05241,-0.01605,-3.469,0.01223,0.05028,2.201,-0.008195,8.521,0,352.9,0,7.217,0,3.038,0,100.6,0,-0.5974,0,1013.0,0,1.252,0,2487000.0,0,0.003937,0,0.0,0.0,0.0,0.0,77.84,0,98.55,0,-0.1327,0,0.3255,0,-8.195,0,17999.0,0,17999.0,0,17999.0,0,17992.0,0,17999.0,0,17983.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,16.0,,,,278.6,,17.58,0.0,0.0,0.0,1.15,69.14128,15.684167,2.0
2020-03-14 02:30:00,2020-03-14,2020-03-14 02:30:00,-8.535,0,0.4009,0,1.181,0,279.3,0,273.8,0,17.29,0,2.204,0,1.889,0,0.269,0,0.1653,0,271.3,0,0.1663,0,-0.3519,0.2378,0.4114,-0.07103,0.0224,-0.9262,2.518,2.639,3.535,3.063,2.566,2.401,-1.078,-0.1882,0.2595,9.687,0.3185,0.2866,-0.05169,-9.81,-0.4043,0.02699,-0.6874,-0.1014,2.018,-0.005359,3.553,7.872,4,177.3,8.625,0.0,1.686e-16,2.321,1.788,0.2526,-1.087,-0.08226,-0.2555,-10.14,-0.3479,-0.1298,0.03945,9.344,0.3889,0.06257,0.7074,-0.05427,8.625,0,2.684,0,8.981,0,3.348,0,100.6,0,-0.4642,0,1014.0,0,1.252,0,2487000.0,0,0.004206,0,0.0,0.0,0.0,0.0,96.89,0,31.67,0,-0.103,0,0.2868,0,-54.27,2,17998.0,0,17998.0,0,17996.0,0,17996.0,0,17998.0,0,17996.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,,,4.135,278.1,,16.95,0.0,0.0,0.0,1.15,69.14128,15.684167,2.0
2020-03-14 03:00:00,2020-03-14,2020-03-14 03:00:00,-8.22,0,2.234,0,1.284,0,279.1,0,216.1,0,16.34,0,0.995,0,1.607,0,0.1944,0,0.1559,0,181.4,0,0.04007,0,-0.2317,-0.2408,0.2016,0.1998,-0.4226,-0.277,2.99,2.753,3.783,3.033,2.498,2.779,-0.2359,0.01801,0.1079,0.6447,-0.07998,0.06355,0.03561,-5.744,-0.04831,0.06634,0.7428,-0.01625,0.859,-0.03766,0.7711,8.571,4,164.8,8.614,-2.168e-19,-5.681e-17,1.135,1.446,0.216,-0.3642,-0.1425,-0.08381,-1.994,0.06137,-0.0119,-0.06265,5.374,0.06759,0.07972,1.052,-0.02568,8.614,0,15.2,0,8.215,0,3.193,0,100.7,0,-0.7011,0,1012.0,0,1.254,0,2488000.0,0,0.003311,0,0.0,0.0,0.0,0.0,123.5,0,47.1,0,-0.1787,0,0.3774,0,-25.68,0,17999.0,0,17999.0,0,17998.0,0,17997.0,0,17996.0,0,17993.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,,,2.56,282.2,227.2,16.4,0.0,0.0,0.0,1.136,69.14128,15.684167,2.0
2020-03-14 03:30:00,2020-03-14,2020-03-14 03:30:00,-6.84,0,-0.1224,0,0.901,0,279.0,0,210.9,0,16.48,0,1.281,0,1.064,0,0.1422,0,0.1321,0,166.7,0,0.06092,0,-0.5519,0.141,0.3706,0.05258,-0.9458,-0.3743,3.376,2.927,3.531,3.052,3.833,2.814,0.00639,-0.05822,0.1248,-4.283,-0.07821,0.05841,-0.01389,2.173,0.01566,0.02135,1.392,-0.0101,0.9611,-0.03112,1.204,7.503,4,-179.0,6.9,0.0,8.293e-17,1.277,1.064,0.1468,-0.005275,-0.09226,-0.1206,4.389,0.07593,-0.05926,0.01612,-2.25,-0.01706,0.03742,0.8265,-0.02019,6.9,0,359.0,0,8.627,0,3.177,0,100.7,0,-0.8709,0,1012.0,0,1.255,0,2488000.0,0,0.003229,0,0.0,0.0,0.0,0.0,58.0,0,37.02,0,-0.1158,0,0.3038,0,-20.19,0,17998.0,0,17998.0,0,17998.0,0,17996.0,0,17983.0,0,17962.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,36.0,,,,279.5,189.3,16.37,0.0,0.0,0.0,1.133,69.14128,15.684167,2.0
2020-03-14 04:00:00,2020-03-14,2020-03-14 04:00:00,-6.491,0,0.6869,0,0.888,0,278.9,0,158.5,0,16.43,0,2.807,0,1.312,0,0.1634,0,0.1396,0,5100.0,0,0.1241,0,-0.219,0.6604,0.5297,-0.08368,-0.2585,-0.4138,2.214,3.735,3.493,3.329,1.329,2.156,-0.2314,-0.2766,0.3127,-53.2,-0.2659,0.0845,-0.03652,6.63,-0.04066,0.0002554,7.065,0.01007,-9.011,-0.06144,18.94,7.747,4,174.0,6.588,0.0,3.617e-17,2.866,1.28,0.1362,-0.07663,-0.0837,-0.3119,54.06,0.2592,-0.04501,0.00341,-0.9955,0.06842,0.04269,-0.2247,-0.02509,6.588,0,6.035,0,11.15,0,3.354,0,100.7,0,-0.9774,0,1011.0,0,1.256,0,2488000.0,0,0.002422,0,0.0,0.0,0.0,0.0,66.12,0,-10.07,0,-0.1052,0,0.2893,0,-25.09,0,17984.0,0,17984.0,0,17982.0,0,17977.0,0,17969.0,0,17867.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,8.0,30.0,132.0,-10.52,-2.06,1.607,281.2,132.8,16.47,14.0,0.0,0.0,1.132,69.14128,15.684167,2.0
2020-03-14 04:30:00,2020-03-14,2020-03-14 04:30:00,-4.406,0,1.792,0,0.7611,0,279.0,0,143.3,0,16.33,0,2.272,0,0.861,0,0.1434,0,0.08216,0,411.1,0,0.03835,0,-0.8538,0.3226,0.618,0.007265,-0.6669,-0.6029,3.138,2.843,3.877,3.215,2.497,2.825,-0.7796,-0.3311,0.2027,-15.65,-0.132,0.1125,-0.08844,5.37,0.02116,-0.007288,3.449,0.01489,-0.9583,-0.0211,2.539,9.09,4,157.9,4.817,0.0,1.008e-16,2.663,0.5171,0.09621,-0.06183,-0.05394,-0.2195,16.85,0.131,0.03067,0.005539,0.9212,0.03015,0.02774,0.7962,-0.005882,4.817,0,22.13,0,9.728,0,3.998,0,100.7,0,-0.96,0,1010.0,0,1.256,0,2488000.0,0,0.002191,0,0.0,0.0,0.0,0.0,42.92,0,35.66,0,-0.06773,0,0.2322,0,-5.882,0,17999.0,0,17999.0,0,17999.0,0,17999.0,0,17992.0,0,17976.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,23.0,,,,,113.0,16.73,0.0,0.0,0.0,1.133,69.14128,15.684167,2.0
2020-03-14 05:00:00,2020-03-14,2020-03-14 05:00:00,-6.409,0,2.112,0,1.097,0,278.9,0,181.6,0,16.72,0,1.058,0,1.102,0,0.1401,0,0.08801,0,118.7,0,0.04137,0,-0.4099,-0.2773,0.3758,0.05756,-0.1747,-0.4883,3.273,2.605,3.906,3.031,2.791,2.872,0.107,-0.0429,0.1054,2.568,-0.01909,0.01037,-0.03688,-4.165,-0.04783,0.02416,-0.03703,-0.02169,0.8076,-0.02591,1.111,9.237,4,161.8,6.837,0.0,6.861e-17,0.9908,1.162,0.1483,0.07255,-0.09435,-0.1064,-3.7,-0.0003597,-0.008173,0.002033,3.152,0.0514,0.04177,0.5641,-0.02191,6.837,0,18.23,0,9.217,0,3.311,0,100.7,0,-0.8505,0,1011.0,0,1.256,0,2489000.0,0,0.002776,0,0.0,0.0,0.0,0.0,64.73,0,25.27,0,-0.1185,0,0.3072,0,-21.91,0,17998.0,0,17998.0,0,17996.0,0,17998.0,0,17998.0,0,17994.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,,,2.61,,,16.21,0.0,0.0,0.0,1.138,69.14128,15.684167,2.0
2020-03-14 05:30:00,2020-03-14,2020-03-14 05:30:00,-4.196,0,0.9712,0,0.7095,0,279.2,0,219.2,0,17.14,0,1.693,0,0.5572,0,0.1242,0,0.07448,0,194.1,0,0.02111,0,-0.2874,-0.384,0.3763,-0.168,-0.1197,-0.8498,2.176,4.054,3.611,3.153,2.144,3.321,0.3213,-0.2186,0.06718,12.21,0.1023,-0.01597,0.01804,3.705,0.02634,0.01884,-0.8938,-0.02554,1.333,-0.008184,0.8405,9.355,4,167.0,4.365,-5.421e-20,-1.323e-16,1.525,0.7561,0.0932,0.5416,-0.02144,-0.0575,-11.05,-0.09659,-0.0235,-0.03273,-6.362,-0.04872,0.02856,0.9149,-0.009969,4.365,0,13.03,0,11.42,0,4.139,0,100.7,0,-1.163,0,1012.0,0,1.254,0,2488000.0,0,0.003359,0,0.0,0.0,0.0,0.0,44.25,0,40.97,0,-0.0269,0,0.1464,0,-9.969,0,17999.0,0,17999.0,0,17999.0,0,17996.0,0,17999.0,0,17999.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,278.4,,,0.0,0.0,0.0,1.133,69.14128,15.684167,2.0
2020-03-14 06:00:00,2020-03-14,2020-03-14 06:00:00,-0.5826,0,0.4491,0,0.3028,0,278.3,0,263.3,0,17.14,0,4.668,0,0.7697,0,0.1428,0,0.1666,0,268.2,0,0.04431,0,-0.4515,-0.1214,0.7287,-0.3197,-0.5545,-0.3648,2.378,3.47,5.513,3.644,1.937,2.15,-0.5058,-0.4484,-0.5283,23.32,-0.04695,0.07675,0.05413,-0.6493,-0.00275,0.06841,-1.279,-0.003698,-3.145,-0.009195,-2.011,22.37,4,142.4,0.7955,-2.711e-20,-4.787e-17,3.471,1.734,0.3758,1.705,-0.968,0.4435,-17.93,0.03142,-0.4716,0.2797,-13.72,0.03084,-0.1086,5.997,-0.01693,0.7955,0,37.62,0,93.35,0,18.79,0,100.8,0,-1.215,0,1013.0,0,1.259,0,2490000.0,0,0.004023,0,0.0,0.0,0.0,0.0,-169.0,0,268.8,0,-1.218,0,0.9839,0,-16.93,0,17997.0,0,17997.0,0,17997.0,0,17996.0,0,17997.0,0,17997.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,277.8,,,0.0,0.0,0.0,1.13,69.14128,15.684167,2.0
2020-03-14 06:30:00,2020-03-14,2020-03-14 06:30:00,-5.239,0,-0.5858,0,0.7673,0,278.6,0,226.8,0,16.63,0,7.203,4,1.322,0,0.2387,0,0.09635,0,1680.0,0,0.1395,0,0.4704,-0.3536,0.141,-0.3178,-0.4408,-0.29,2.221,3.04,2.661,3.141,1.465,1.515,0.878,-0.923,0.306,-89.68,-0.9144,-0.03076,0.1624,-5.757,-0.1108,-0.0115,13.52,0.1168,-2.404,-0.0451,13.86,8.282,4,-173.6,5.327,0.0,1.458e-17,7.44,1.2,0.1232,0.1943,-0.1274,-0.3205,90.78,0.9282,-0.101,-0.1274,-4.244,0.008464,0.03502,0.4544,-0.0171,5.327,0,353.6,0,27.13,0,6.11,0,100.8,0,-1.53,0,1012.0,0,1.258,0,2489000.0,0,0.003465,0,0.0,0.0,0.0,0.0,54.42,0,20.36,0,-0.1603,0,0.357,0,-17.1,0,17996.0,0,17996.0,0,17992.0,0,17991.0,0,17959.0,0,17899.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,40.0,100.0,,,1.765,284.2,247.3,16.74,3.0,0.0,0.0,1.119,69.14128,15.684167,2.0
